<MOH id = 0 >	****** Result for Image/Page 1 ******
<MOH id = 617 >	2 Nó:nen ne ronttokhahtsherí:io nón:kwe enthontá:ti', entisa'nikonhratihéntho' tsi nahò:ten' ronaterièn:tare'. Nok ne iah tehonttókha' nek ne thontá:tis nahò:ten' iah orì:wa' té:ken.

<MOH id = 620 >	****** Result for Image/Page 32 ******

<MOH id = 623 >	3 Roiá:ner tehakà:nere' tsi niiá:wen's tsik nón:we, tetehshonkwakà:nere' tsi nitewatiéhrha' tóka' ken tkaié:ri tóka' ò:ni' tewarihwanéra'ks.
<MOH id = 624 >	4 Kawenní:io's tkáhas natónhnhets, nok ne iotewennatská:ra't nek nen' nè:'e naiako'nikonhrakaré:wahte'.
<MOH id = 625 >	5 Teiotenonhwarorì:tonte' ne tóhsa ahsié:na' nahò:ten' ne iesaièn:'a iesarihonnién:ni, wattokhatsherí:io nahsié:na' nahò:ten' eniesarihwakwaríhsien'.
<MOH id = 626 >	6 Nón:kwe thotirihwaié:ri enhatihá:wake' raonatsho'kowáhtshera', nok ne iah tethotirihwaié:ri enhonáhton'se' nó:nen éntewe' ka'nikonhrharáhtshera'.
<MOH id = 628 >	7 Nón:kwe tehoti'nikonhráthe', attokháhtshera' tehonrenià:tha', iah ki' nen' nè:'e ne rotinonhwaró:ri.
<MOH id = 629 >	8 Roiá:ner rotonhnháhere' nó:nen tionkwe'taié:ri ronaterén:naien, nok ráhswens ne thatíhas karihwiiose'okòn:'a ne rotirihwanéren.
<MOH id = 630 >	9 Roiá:ner ráhswens tsi nihotiianerenhserò:ten' ne ronnonkwe'táksen, nok shakonorónhkhwa' nónhka tierihwaié:rits.
<MOH id = 631 >	10 Tóka' tho nénhsiere' tsi nahò:ten' iah tetkaié:ri, kwah í:ken tsi enhsathré:wahte'; enhsíheie' tóka' iah thahsatateríhon' ne ahserihwakwaríhsi'.
<MOH id = 632 >	11 Ok ò:ni' ne ronenhé:ion tsi nón:we thón:ne's akwé:kon Roiá:ner niehoterièn:tare' tsi nítioht; oh ká:ti' naiá:wen'ne' ahtshitewatahséhten' tsi nahò:ten' onkwerià:ne í:wa?
<MOH id = 633 >	12 Nón:kwe rontatkweniénhstha' iah tehatinòn:we's nónhka tahonwatiwénne'ke'; iah nonwén:ton thahshakotiri'wanón:tonhse' ahonwati'nikòn:ron' ne tehoti'nikonhráthe'.
<MOH id = 635 >	13 Nó:nen nón:kwe ronatonhnháhere', rotikonhsaiéshon, nó:nen roti'nikonhráksen's enthoti'nikòn:ren'ne'.
<MOH id = 636 >	14 Nón:kwe ne tehoti'nikonhráthe' tehonatonhwentsó:ni sénha é:so nahatiweientéhta'ne', nok ne iah tha'tehoti'nikonhráthe' sha'tehatinòn:we's tsi iah tekarihonnién:ni.
<MOH id = 637 >	15 Tsi ronnónhnhe' rotí:ten tió:konte' tehotihniotátie', nón:kwe iakotonhnháhere' tió:konte' ne ion'wé:sen tsi ronnónhnhe'.
<MOH id = 638 >	 
<MOH id = 639 >	****** Result for Image/Page 33 ******

<MOH id = 642 >	16 Ne sénha ioiánere' naiesenténhton tánon' ahtshetshahníhseke' ne Roiá:ner tsi ní:ne aiesakwatshéhake' tánon' taiesa'nikonhrhá:rake'.
<MOH id = 643 >	17 Ne sénha ioiánere' ase'shòn:'a aiésewake' nón:kwe shenorónhkhwa' tsi ní:ne skátne taiesewá:tonte' ne kwah tka'wahrí:io tóka' tesewatátshwens.
<MOH id = 644 >	18 Ne iena'kwahseró:hen/iena'kwasnó:re' tkáhas ne taieri'wakéhnha', nok ne iako'nikonhrí:io tkáhas ne skén:nen.
<MOH id = 645 >	19 Tóka' sentóhrha', tsik nienhénhse' akwé:kon nienwentó:reke', tóka' sarihwakwaríhsion iah ki' othé:nen tha'tahsa'nikonhrhá:ren'.
<MOH id = 646 >	20 Ratiksa'okòn:'a ne ronttokhahtsherí:io shakonatonhnhahrá:ni ne ronwati'níha. Nek ne rotinonhwaró:ri shakotíhswens ne shakoti'nisténha.
<MOH id = 647 >	21 Nón:kwe ne iah tha'teiako'nikonhráthe' ronatonhnháhere' tsi rotinonhwaró:ri, nok ne ronttokhahtsherí:io eh tho nihatiiéhrha' tsi nahò:ten' tkaié:ri.
<MOH id = 648 >	22 Tsé:na akwé:kon ne ka'nikonhrí:io tsi naiesaten'nikòn:ron' tánon' ensaianeráhsten'; tóka' iah tho tháhsiere' ensarihwanó:ron'se' ki'.
<MOH id = 649 >	23 Iotonhnhà:raht nó:nen enhsetshén:ri' ne kwah tkawennaié:ri tsi nahò:ten' saterihwahtentià:ton!
<MOH id = 650 >	24 Nón:kwe ne teiako'nikonhráthe' ne enionthahíta' ne iónhnhe' ne è:neken nieiawé:non, iah ki' tsi niiohahò:ten' ne ehtà:ke ne nieiawé:non kenhé:ion.
<MOH id = 651 >	25 Roiá:ner enhshakononhsaríhsien' ne rontatón:ni, nek tsi enhanónhstate' tsi nahò:ten' iakó:ien ne iakotenhrè:'ons.
<MOH id = 652 >	26 Roiá:ner ráhswens ne iah tewanonhtonnionhtsherí:io, nok rawerien'tí:io's nowenna'shòn:'a ne watenro'serí:io.
<MOH id = 653 >	27 Tóka' enhsate'nién:ten' ne iah tetkarihwaié:ri tahshna'néta' tsi tahsatèn:tsha', ienhsheia'tenhá:wihte' ne sahwá:tsire' tsi tensewa'nikonhrhá:ren'. Tóhsa othé:nen tsé:na nahò:ten' iah tetkarihwaié:ri aiesatkária'khse' nothé:nen tánon' karì:wes enhsónhnheke'.
 
<MOH id = 656 >	****** Result for Image/Page 34 ******

<MOH id = 659 >	28 Nón:kwe tiakorihwaié:ri enionnonhtonnión:ko' ohén:ton tsi niió:re tenierihwa'será:ko'. Nón:kwe ne ionkwe'táksen's iosnó:re' tenhatirihwa'será:ko', sok entkáhawe' ka'nikonhrharáhtshera'.
<MOH id = 660 >	29 Nó:nen nón:kwe tiakorihwaié:ri enionterén:naien', Roiá:ner rotahónhsate', nónhka iah tetiakorihwaié:ri iah thahshakotahónhsatate'.
<MOH id = 661 >	30 Iakokonhsaieshónnion entkáhawe' nahsatonhnhà:ren'. Nó:nen enhserihwà:ronke' karihwí:io's sénha enhsonhnhí:io'ne'.
<MOH id = 662 >	31 Tóka' kwah tokèn:'en enhsatahónhsatate' nónhka naiesarihwakwaríhsien', tesa'nikonhráthe ki'.
<MOH id = 663 >	32 Tóka' iah thahsatahónhsatate' nahsié:na' nahò:ten' naiesaweientéhten' í:se' ki' enhsatatkarón:ni'. Tóka' enhsié:na' ne aiesatakwaríhsien' tensa'nikonhráthe'ne' ki'.
<MOH id = 664 >	33 Ahtskweniénhsthake' Roiá:ner ensarihónnien' ne taiesa'nikonhráthe'ne'. Ó:nen'k tsi enhsaní:tenhte' nohén:ton nenhskwé:ni' nahsié:na' kakwenienhstáhtshera'.

<MOH id = 666 >	16 Enwá:ton' aietewaten'nikonhrísa' nok Rawenní:io ki' nohnà:ken enthatá:ti'.
<MOH id = 667 >	2 Íhsehre' tsi sanonhtónnion akwé:kon tkaié:ri tsi nihsatiéhrha' nok ki' Roiá:ner tenhiaia'tó:rehte' tsi nahò:ten' saten'nikonhríson.
<MOH id = 668 >	3 Ehtshe'né:ken Roiá:ner ahaia'taté:rihste' tsi nahò:ten' wahsate'nikonhrísa' eh thó:ne ensaterihwahténtia'se'.
<MOH id = 669 >	4 Akwé:kon ne Roiá:ner tsi nahò:ten' róhson nieionateríhonte'; tsi niahonenonhátie' ne rotirihwanera'ákskon enhatiia'táhton'.
<MOH id = 670 >	5 Roiá:ner ráhswens nónhka iakotkenhronniáhtskon; iah nonwén:ton thahati'niá:ken'ne' tsi ahshakohré:wahte'.
<MOH id = 671 >	6 Sarihwatokénhak tánon' sanitenrahtskónhak, Rawenní:io enshia'nikónhrhen'se' tsi sarihwanéren. Tshewén:narahkw ne Roiá:ner tánon' iah othé:nen ne karihwáksen thaiesá:ra'ne'.
<MOH id = 672 >	7 Nó:nen enhtshe'nikonhraié:rite' Roiá:ner, enhskwé:ni' ne iesáhswens ahsheiatenro'serónnien'.
<MOH id = 674 >	8 Ne sénha ioiánere' ne ostón:ha tahsatèn:tsha' tóka' tkarihwaié:ri, tsi ní:ne é:so tahsatèn:tsha' tánon' iah tetkaié:ri tsi ní:ioht tsi wesaién:ta'ne'.
 
<MOH id = 676 >	****** Result for Image/Page 35 ******

<MOH id = 679 >	9 Enwá:ton' í:se' enhsate'nikonhrísa', nok Rawenní:io ki' enhiaianénhawe' tsi nenhsátiere'.
<MOH id = 680 >	10 Ronontí:io tsi thatá:tis Ronhnhe'ón:we thó:wis ne ka'shatsténhsera'; tsi nahò:ten' enharihwísa' tiótkon tkaié:ri.
<MOH id = 681 >	11 Roiá:ner tehotonhwentsó:ni tsi kakon'tsheríhare' tánon' ne ate'nienténhtshera' aontakaié:rike' nahò:ten' watenhní:non ne kwah aontakarihwaié:rike'.
<MOH id = 682 >	12 Rotinontí:io's iah thahatiié:na' ne karihwanéren, ase'kénh aterihwakwarihsiónhtshera' tkáhas ne kakoráhsera' aka'shátsteke'.
<MOH id = 683 >	13 Ronontí:io tehotonhwentsó:ni ahothón:teke' ne orihwí:io tánon' enhshakorihwakwénienhste' nónhka iah teiakonó:wen.
<MOH id = 684 >	14 Nónhka ionttokhahtsherí:io enionte'nién:ten' nahatonhnhà:rake' ne ronontí:io. Tóka' enhonà:khwen' ne ronontí:io, tóka' nòn:wa ónhka'k eniaíheie'.
<MOH id = 685 >	15 Ronontí:io nónhka entehshakóhnhe' ne shà:ka ne kenkwitè:ne/kokwitè:ne ioronhiarátie's/ohtsì:kera' tkáhas naiokén:nore—eh tho ká:ien natónhnhets.
<MOH id = 686 >	16 Ioiánere kwah sénha ísi' non tsi ioiánere naiesaièn:take wattokhahtsherí:io tánon' karihonnienníhtshera tsi ní:ioht ne ohwistanó:ron tánon' kahwistarà:ken.
<MOH id = 687 >	17 Nónhka tionkwe'taié:ri tho nón:we enionthahaté:ko tsi iohatátie ne karihwanéren; saten'nikón:raren ká:ti' tsi nón:we wesenonhátie—tóka' ne ensa'niá:kenhte.
<MOH id = 688 >	18 Kanaiéhtshera eniakohshá:rine tsi nonkwá ne karihwaiesáhtshera, tánon' atkenronniáhtshera ehtà:ke niiakoia'ténhas.
<MOH id = 689 >	19 Ne sénha ioiánere nahsaní:tenhte tánon' aiesenténhton tsi ní:ioht ne ahsheiatia'táhrhahse ne ronatkenhronniá:tskon tánon' ahshié:na tsi nahò:ten' rotinénhskwen.
<MOH id = 690 >	20 Satahonhsí:iohst tsi nahò:ten' eniesarihónnien, ne ensakwáhtshe'ne; ehtsheniáhes Roiá:ner tánon' ensatonhnhá:rake.
 
<MOH id = 694 >	****** Result for Image/Page 36 ******

<MOH id = 697 >	21 Nónhka teho'nikonhráthe' tánon' rotonkwe'tíson ronwaienté:ri tsi ro'nikonhraientà:tskon. Sénha ron'wé:sen tsi enthatá:ti' sénha ki' enthonwéhtahkwe'.
<MOH id = 698 >	22 Attokháhtshera' tiohné:kote' ne iónhnhe' nónhka teiako'nikonhráthe' nok ahsate'nién:ten' ahsherihónnien' ne iah tha'teiako'nikonhráthe' iah sha'tékena té:ken.
<MOH id = 699 >	23 Nón:kwe roti'nikonhrattókha' enhonnonhtonnión:ko' ohén:ton enthontá:ti'; tsi ká:ti' nahò:ten' enhonnì:ron' sénha ki' enhonwanatahónhsatate'.
<MOH id = 700 >	24 Kawenní:io's ne shà:ka ne otsi'nahkontahkwà:ne ne óshes —teiotsikhè:tare' nahsátken'se' tánon' iakaohnhiióhstha'.
<MOH id = 701 >	25 Tsi nahò:ten' íhsehre' tkaié:ri tsi niiohahò:ten' sathahitáhkhe' tóka' eh tho nón: niensaia'ténhawe' tsi nón:we kenhé:ion.
<MOH id = 702 >	26 Rón:kwe ne roió'te' rotonhkarià:kskon sénha enhahkwísron' enhoió'ten' né: tsi enhawerien'tí:io' nó:nen tenshatskà:hon.
<MOH id = 703 >	27 Nón:kwe ne iah tethotirihwaié:ri ronné:saks ne ahshakotikarón:ni' nakotia'kè:shon; ok ò:ni' wátsha's tsi thatiwenníneken's.
<MOH id = 704 >	28 Nón:kwe ne iah tetionkwe'taié:ri teierihwenhawíhtha'; ò:ni' tahshakona'nikonhrhá:ren' tánon' tahshakotikháhsi' natenro'sera'shòn:'a.
<MOH id = 705 >	29 Nón:kwe ne rati'nikonhrahétken's shakonanowenhtén:nis ne rontenro'shòn:'a tánon' nek enhshakonahshá:rine' nahshakotikarón:ni'.
<MOH id = 706 >	30 Se'nikòn:rarak nón:kwe rotikonhsaiéshon tánon' rontkahrokeríkhons tsi teiesakà:nere'; karihwáksen tsi nahò:ten' ronnonhtonniónkwas.
<MOH id = 707 >	31 Ne tiakorihwaié:ri teniakoterihwa'serákwahse' eniakonhnhé:son; ata'kenhróhkhwa' niiakononhkwiserò:ten' ne shà:ka tsi ní:ioht kakwenienhstáhtshera' teiakoterón:rote'.
<MOH id = 708 >	32 Ne sénha ioiánere' ne iako'nikonhrí:io tsi ní:ioht ne aiako'shatstenhserowanénhake'. Ne sénha ioiánere' aontahsanónhton' tsi sónhnhe' tsi ní:ioht ne aontahsahnónhton' tsi kanataién:ton.
	 
<MOH id = 710 >	****** Result for Image/Page 37 ******

<MOH id = 713 >	33 Nón:kwe tehatí:iens tsi ní:ioht tsi nahatiweientéhta'ne' Rawenní:io raononhtonniónhtshera', nok ki' Rawenní:io raonhà:'a thanónhtons tsi nieniá:wen'ne'.

<MOH id = 715 >	17 Ne sénha ioiánere' iona'watsistahní:ron kanà:taro áhseke' tánon' skén:nen ahsanonhtonniónhake' tsi ní:ioht ne akakhwà:rake' tánon' tetkáhere' ka'nikonhrharáhtshera' kanónhskon.



<MOH id = 716 >	2 Kí:ken rahnhà:tshera' rattokhahtsherí:io ne è:neken enshotohetstáhkwen ne raia'takwe'ní:io roièn:'a né: tsi tehotenonhwarorì:tonte' tánon' ne rahnhà:tshera' knahò:ten'k enhaié:na' ne kakwatshéhtshera'.
<MOH id = 718 >	3 Ohwistanó:ron tánon' kahwistarà:ken tsi iotékha' teionatohétston, nok nón:kwe akawé:ri Roiá:ner ne nen' nè:'e tenhaia'tó:rehte'.
<MOH id = 719 >	4 Nón:kwe ne iah tetiakorihwaié:ri ne iontahónhsatats nahò:ten' karihwáksen's, tánon' ne rotinó:wen's onó:wen ne rontahónhsatats.
<MOH id = 720 >	5 Tóka' thenhsheié:ron' iakotenhténion, enhtshe'nikonhrakaré:wahte' Rawenní:io ase'kénh ne shakoia'tíson. Ensathré:wahte' tóka' enhsatshennón:ni' nónhka iakotera'swaksèn:'en.
<MOH id = 722 >	6 Kahsótshera' ratiná:ie' tsi nonkwá: ne shakonatere'okòn:'a, ne shà:ka ne eksa'okòn:'a ratiná:ie'/rotira'sè:se' tsi roti'nisténhshen tánon' roti'níhshen.
<MOH id = 723 >	7 Nón:kwe iakotonkwe'tatkwéniens iah teiakonó:wen, nón:kwe ne teiakotenonhwarorì:tonte' iah sha'tékena té:ken nahò:ten' enhonnì:ron'.
<MOH id = 724 >	8 Ótia'ke' nón:kwe í:ienhre'k tóka' entehshwistake'tó:ten' ne eniakohskátsten'; tsi ní:tsi thonehtáhkwen akwé:kon ne enkakwatá:ko'.
<MOH id = 725 >	9 Tóka' íhsehre' nón:kwe aiesanòn:we'ne', sashe'nikónhrhen's nó:nen eniesakarón:ni'. Tóka' enhsehià:rake' nahò:ten' io'táksen's tentsatenro'seráksen' ne ki'.
<MOH id = 726 >	10 Nón:kwe ne teiako'nikonhráthe' sénha é:so enieweientéhta'ne' ne énska khok aiontattéhten' tsi ní:ioht tehotenonhwarorì:tonte' ok ò:ni' énska tewen'niáwe' ahonwanonhwáre'ke' iah ki' thahaweientéhta'ne'.
	 
<MOH id = 729 >	****** Result for Image/Page 38 ******
	
<MOH id = 733 >	11 Kenhé:ion éntewe' tsi ní:ioht iah tehotennitenráhtskon rarihwakarénie's tsi nonkwá: ne iah tetionkwe'taié:ri né: tsi tiótkon ka'nikonhrharáhtshera' tehonawénrie'.
<MOH id = 734 >	12 Ne sénha ioiánere' taietsátera'ne' ne konwa'nisténha ohkwá:ri konwawiranénhskwen tsi ní:ioht ne taietsátera'ne' rononhwaró:ri iah orì:wa' té:ken tsi nihatiéhrha'.
<MOH id = 735 >	13 Tóka' ne ensehskária'kte' ne wahétken ne aonaktà:ke ne ioiánere', iah ki' nonwén:ton é:ren thá:wehte' ne io'táksen ne sanónhskon.
<MOH id = 736 >	14 Nentewatáhsawen' tahsatewennotón:ko' ne shà:ka aontontié:renhte' ne takà:rihte' ohné:ka' tsi ieiò:re' tewahsónhtote'; téstahst ohén:ton tsi niió:re ísi' nón: nienhén:we'.
<MOH id = 737 >	15 Tahsheia'tó:rehte' ne iah teiako'nhì:kon tóka' ò:ni' aonsahsheiáhtka'we' ne iakorihwanéren — tetsá:ron ráhswens Roiá:ner.
<MOH id = 738 >	16 Iah thé: tekáhsta ahsathwistakarón:ni' ahtsheweientéhten' ne rononhwaró:ri ase'kénh iah teho'nikonhraientà:tskon.
<MOH id = 739 >	17 Atenrò:sera' tiótkon wè:ne' ronnón:nis ne raotinoronhkhwáhtshera'. Kahwá:tsire' ionkwahrhá:re' naontaionkhíhnhe' nó:nen tentewa'nikonhrhá:ren'.
<MOH id = 740 >	18 Nek ne ónhka iah teiako'nikòn:ra aiehrhá:ratste' ne aierihwanòn:we'ne' nakò:ren iakotká:rote'.
<MOH id = 741 >	19 Ahsenonhwè:sheke' karihwanéren ne shà:ka senòn:we's ne tahsa'nikohnhrhá:ren'. Tóka' tió:konte' tehsataterénhsarons, seri'wanóntha' ki' ne ka'nikonhrharáhtshera'.
<MOH id = 742 >	20 Nónhka ionnonhtónnions tánon' tiontá:tis ne wahétken iakohrhá:rek ki' ne iah othé:nen nahò:ten' ioiánere' aietshén:ri' — nek kakaronniáhtshera'.
<MOH id = 743 >	21 Iah othé:nen teká:ien nek ne aontaiako'nikòn:ren'ne' tánon' aiako'nikonhráksen' nonkwá: iakowí:raien ne teiotenonhwarorì:tonte' tsi nihontiéhrha'.
<MOH id = 744 >	22 Satonhnhà:rak ne entkáhawe' ensata'karí:teke'. Tóka' tió:konte' sa'nikonhrèn:ton skenèn:'a tsi enhsíheie'.
<MOH id = 745 >	 
<MOH id = 746 >	****** Result for Image/Page 39 ******

<MOH id = 749 >	23 Ratirihwénhtha' ne iah tethotirihwaié:ri ratiié:nas ioterihwahséhton nahonatkária'khse' sok iah tetkaié:ri tsi enhatirì:wenhte'.
<MOH id = 750 >	24 Nónhka teiako'nikonhráthe' ia'teiekà:nere' ne tkarihwaié:ri tsi naióntiere', nok ne teiakotenonhwarorì:tonte' iah nen' nè:'e thahanonhtonnión:ko' tsi nón:we wahawenonhátie'.
<MOH id = 751 >	25 Ratiksa'okòn:'a ne tehonatenonhwarorì:tonte' shakoti'nikonhraksà:tha' raoti'níhsera' tánon' ne raoti'nisténhsera' iotská:ra tsi ianonhtónnion.
<MOH id = 752 >	26 Iah tetkaié:ri nahsheiónnien' naiekária'ke' ne iah othé:nen tha'teiako'niohskèn:'en; kaianerénhsera' ne ka'nikonhrhà:ton iah teioiánere' ne tionkwe'taié:ri aionthré:wahte'.
<MOH id = 753 >	27 Nónhka ronaterièn:tare' tsi nihontiéhrha' iah tió:konte' tehotíhthare'. Nón:kwe ne tha'tehonató:te' ratika'enionhtsherí:io. 
<MOH id = 754 >	28 Tóka' ò:ni' énhsehre'k ne rotinonhwaró:ri tehoti'nikonhráthe' tánon' ronttókha' tóka' tha'tehonató:te' tánon' ronatskwé:kon.

<MOH id = 758 >	18 Nón:kwe ne iah tehontén:ros nakohrèn:shon rononhà:'a khok rontatè:iahre'; akwé:kon ratirihwáia'ks tsi nahò:ten' akohrèn:shon ronaterièn:tare' nahò:ten' tkaié:ri.
<MOH id = 759 >	2 Nónhka tehotenonhwarorì:tonte' iah othé:nen tehatsterístha' tóka' ken ro'nikonhraién:ta's tóka' ni' ken iah; nek khok tehotonhwentsó:ni nahshakona'tón:hahse' tsi niió:re tsi ì:rehre' teho'nikonhráthe'.
<MOH id = 760 >	3 Karihwaksen'ó:kon tánon' atehénhsera' ne íkene'. Nok tóka' ensá:ti' ne atatkwenienhstáhtshera', ne ia'tensewatté:ni' theniesaié:ron'.
<MOH id = 761 >	4 Nón:kwe nakowenna'shòn:'a enwá:ton' ne entkáhawe' attokháhtshera', ne taié:ren' tsi niiohnó:tes kaniatara'kehkó:wa, tánon' tsi nikahnekí:io tsi kahionhatátie'.
<MOH id = 762 >	5 Iah tetkaié:ri naontahshéhnhe' nón:kwe iako'nhì:kon tánon' naontahsheiato'ktákwen' ne aterihwakwarihsiónhtshera' nónhka iah othé:nen teiako'nhì:kon.
<MOH id = 763 >	6 Nó:nen rononhwaró:ri tenharihwakéhnha' rari'wanóntha' nahonwanonhwenhserário'.

<MOH id = 765 >	****** Result for Image/Page 40 ******

<MOH id = 768 >	7 Nó:nen rononhwaró:ri enthatá:ti' ehtà:ke nienhatáthawe'; tsi waterístaien enhoié:na' tsi ní:ioht tsi róhthare'.
<MOH id = 769 >	8 Taierihwenhá:wihte' tsi iawékon tewanòn:we's iaietewahnéhkwane'!
<MOH id = 770 >	9 Ón:kwe ne iakentóhrha' sha'tewahétken tsi ní:ioht ne ónhka ionteron'ónhtha'.
<MOH id = 771 >	10 Roiá:ner ne táhtsheren' ne kwah tio'nikahtahní:ron, tsi nón:we enwá:ton' niá:ien' ne tionkwe'taié:ri ne skén:nen aionnonhtonniónhake'. 
<MOH id = 772 >	11 Sok ne rotikwátshe' rón:nehre'k raotikwatshéhsera' enhotinónhstate' tsi shí:ken ní:ioht ne kwah iorihwahní:ron è:neken tiótte' tewahsónhtote' teiohkwatasè:ton tsi kaná:taien.
<MOH id = 773 >	12 Iah ónhka thatskwénienhste' tsik roniténhton; nón:kwe iontatón:ni tho néntewe' tsi eniontatkarón:ni'.
<MOH id = 774 >	13 Satahónhsatat ohén:ton ne tenhserihwa'será:ko'. Tóka' iah tho tháhsiere' iah ki' tha'tesa'nikonhráthe' tánon' enhshe'nikonhrakaré:wahte'.
<MOH id = 775 >	14 Tsi sanonhtónnions sahská:neks nahsónhnheke' ne ensáhawe' nó:nen sanonhwáktani, tóka' ensá:ti', enwatóhetste' ne sahrharáhtshera'.
<MOH id = 776 >	15 Nón:kwe né: teiako'nikonhráthe' tiótkon iakotateweienentà:'on nahò:ten' aieweientéhta'ne'.
<MOH id = 777 >	16 Tesatonwenhtsó:ni ken taietsatátken nónhka iehsennowá:nen? Ne sénha watié:sen iáhshawe' tiok nahò:ten' ahshé:ion'.
<MOH id = 778 >	17 Ónhka enthatié:renhte' enhatá:ti' tsi teieia'torehtáhkhwa' tsi ní:ioht ne tkaié:ri, tsik tenhiatewennotón:ko' ne ohén:ton thotá:ti tánon' enhori'wanontonnión:hahse'.
<MOH id = 779 >	18 Tóka' tetsá:ron nirihwa'shátste' tehorihwakéhnhen tsi teieia'torehtáhkhwa', nó:nen enka'wahstóhtshion tsi ia'tenkarihwaién:ta'ne' enkarì:wen'ne' ki'.
<MOH id = 780 >	19 Sheia'takéhnha' ne sewatátenonhkwe' tánon' ronónha ò:ni' eniesaia'tanónhstate' tsi ní:ioht ne kanatowá:nen tewahsónhtote' otstèn:ra'. Tóka' tensewaterihwakén:ni' enthatihnhó:ton' tsi ronatehnhokà:ronte' ne sarihwà:ke.
 
<MOH id = 783 >	****** Result for Image/Page 41 ******

<MOH id = 786 >	20 Enhshá:wake' tiótkon tsi neniá:wen'ne' nahò:ten' entehsatá:ti'.
<MOH id = 787 >	21 Tsi nahò:ten' enhsì:ron' enkakwé:ni' nakanónhstate' natónhnhets, tóka' ò:ni' akarihwáhton'te'; ó:nen'k ká:ti' tsi enhsié:na' tsi neniá:wen'ne' nahò:ten' entehsewenníneken'ne'.
<MOH id = 788 >	22 Tóka' enhsetshén:ri' naiesániake' enhsetshén:ri' ne ioiánere', wè:ne' Roiá:ner tenhiarihwáhshnie'se'.
<MOH id = 789 >	23 Nó:nen nonkwehshòn:'a ne rotí:ten enthontá:ti', ó:nen'k tsi ronaniténhton, nok ne rotikwátshe' ronatewennátkon nó:nen tenhatirihwa'será:ko'.
<MOH id = 790 >	24 Ótia'ke' natenrò:sera' iah sha'tékena té:ken, ótia'ke' natenrò:sera' ísi' nón:we tsi rotirihwató:ken tsi ní:ioht ne rontate'ken'okòn:'a.

<MOH id = 792 >	19 Ne sénha ioiánere naiesenténhton tánon' aontesarihwaié:rike' tsi ní:ioht naiesanonhwaró:rike' tánon' naiesanowénhake'.
<MOH id = 793 >	2 Tóka' serihwa'karí:tats nahò:ten' iah thiekaié:ri tesaterièn:tare' iah ki' teioiánere'; tóka' iah tesa'nikonhrí:io tenhsa'nikonhrhá:ren' ki'.
<MOH id = 794 >	3 Ótia'ke' nón:kwe eniontatkarón:ni' tóka' ononhwarorì:ta' tsi ní:ioht tsi iontoriahnerónkwas tánon' enthonwá:rahse' Roiá:ner.
<MOH id = 795 >	4 Rotikwatshénion watié:sen nahontenro'seratshén:ri' nok ne rotitenhténion iah nen' nè:'e tho tewatié:sen nahonatenro'shén:take'.
<MOH id = 796 >	5 Tóka' enhsanó:wenhte' tsi ieia'torehtáhkhwa', eniesahré:wahte' — iah thahse'niá:ken'ne'.
<MOH id = 797 >	6 Akwé:kon ionte'niéntha' ne è:neken thonátte' aontónhseke' ahshakotirì:wawa'se'; akwé:kon ionhská:neks naiakotenro'seraién:take' nónhka tehshakoná:wis ne kaia'takehnháhtshera'.
<MOH id = 798 >	7 Ok ò:ni' ne ró:ten raohwá:tsire' ronwakenhrón:ni; iah ki' teionehráhkwa tsi iah tehotenro'será:ien. Iah thé: tewatsterístha' tho ní:tsi ahate'nién:ten' iah ki' thahatkwé:ni' nahatenro'serón:ni'.
<MOH id = 799 >	8 Tha'satateweien'tón:hahs satéweienst tsi ní:kon enhskwé:ni'; sehià:rak nahò:ten' wahseweientéhta'ne' sok ensakwátshe'ne'.
<MOH id = 800 >	9 Iah ónhka ne ionnowenhtánions tsi ieia'torehtáhkhwa' thaie'niá:ken'ne' naionthré:wahte'; rothrewáhton.
 
<MOH id = 802 >	****** Result for Image/Page 42 ******

<MOH id = 805 >	10 Nónhka tehonatenonhwahrorì:tonte' iah tha'tehonatèn:tson kakwatshehserá:kon ahati'terón:take', tánon' ratihnhà:tshera' tóhsa ne è:neken ahonterihwà:rahkwe' ohén:ton ne ratihsennowá:nen's.
<MOH id = 807 >	11 Tóka' sattokhahtsherí:io enhskwé:ni' ki' aontahsanónhton' ne sana'khwénhsera'. Nó:nen ónhka eniesa'nikonhráksa'te', ne iorihowá:nen tóka' enhskwé:ni' tóhsa tahserihwáhsnie'ne'.
<MOH id = 808 >	12 Ronontí:io raona'khwénhsera' ne shà:ka ne kèn:reks tsi ratonriá:iens, nok ne tóka' enhtshateweien'tón:hahse' ne táhseren' tsi niiotshennónnia nó:nen eniokén:nore'.
<MOH id = 809 >	13 Ne iah tha'tehoti'nikonhráthe' ratiksa'okòn:'a, nia'té:kon entkáhawe' nahotikarón:ni' ne ronwatiièn:'a. Ne iah tha'tehoti'nikonhráthe' shakotiien'okòn:'a entkáhawe' nia'té:kon ahontkarón:ni'. Rón:kwe roniá:kon ne tió:konte' iakorihwaka'tèn:'en ne shà:ka ne tió:konte' ohné:kanos iotshà:nhon.
<MOH id = 810 >	14 Rón:kwe enwá:ton' nahonwahiatonhserónnien' kanónhsa' tánon' ohwísta', nek tsi Roiá:ner khok enhakwé:ni' naontahonwatenniéhten' ne tiakorihwaié:ri nahóniake'.
<MOH id = 811 >	15 Wà:s ká:ti', sentóhrhak, sén:ta'wh, nok ki' enhsatonhkária'ke'.
